"throughput/total petaflops","saturate_moe1Bsparse_15B - train/CE loss","saturate_moe1Bsparse_15B - train/CE loss__MIN","saturate_moe1Bsparse_15B - train/CE loss__MAX","saturate_moe1Bsparse_15B - _step","saturate_moe1Bsparse_15B - _step__MIN","saturate_moe1Bsparse_15B - _step__MAX","saturate_moe1Bolmo_15B - train/CE loss","saturate_moe1Bolmo_15B - train/CE loss__MIN","saturate_moe1Bolmo_15B - train/CE loss__MAX","saturate_moe1Bolmo_15B - _step","saturate_moe1Bolmo_15B - _step__MIN","saturate_moe1Bolmo_15B - _step__MAX","saturate_135M_15B_03 - train/CE loss","saturate_135M_15B_03 - train/CE loss__MIN","saturate_135M_15B_03 - train/CE loss__MAX","saturate_135M_15B_03 - _step","saturate_135M_15B_03 - _step__MIN","saturate_135M_15B_03 - _step__MAX","saturate_1B_15B.py - train/CE loss","saturate_1B_15B.py - train/CE loss__MIN","saturate_1B_15B.py - train/CE loss__MAX","saturate_1B_15B.py - _step","saturate_1B_15B.py - _step__MIN","saturate_1B_15B.py - _step__MAX","saturate_271M_15_2_cont - train/CE loss","saturate_271M_15_2_cont - train/CE loss__MIN","saturate_271M_15_2_cont - train/CE loss__MAX","saturate_271M_15_2_cont - _step","saturate_271M_15_2_cont - _step__MIN","saturate_271M_15_2_cont - _step__MAX","saturate_271M_15B_2 - train/CE loss","saturate_271M_15B_2 - train/CE loss__MIN","saturate_271M_15B_2 - train/CE loss__MAX","saturate_271M_15B_2 - _step","saturate_271M_15B_2 - _step__MIN","saturate_271M_15B_2 - _step__MAX"
"1.4363411664962769","10.92990493774414","10.92990493774414","10.92990493774414","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.0298454761505127","","","","","","","","","","","","","10.927889823913574","10.927889823913574","10.927889823913574","2","2","2","","","","","","","","","","","","","","","","","",""
"2.1545119285583496","10.8147554397583","10.8147554397583","10.8147554397583","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.8726823329925537","10.647744178771973","10.647744178771973","10.647744178771973","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.0447683334350586","","","","","","","","","","","","","10.78377914428711","10.78377914428711","10.78377914428711","3","3","3","","","","","","","","","","","","","","","","","",""
"3.590852975845337","10.447831153869629","10.447831153869629","10.447831153869629","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.059690952301025","","","","","","","","","","","","","10.575376510620117","10.575376510620117","10.575376510620117","4","4","4","","","","","","","","","","","","","","","","","",""
"4.078651428222656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.902741432189941","10.902741432189941","10.902741432189941","2","2","2"
"4.309023857116699","10.238283157348633","10.238283157348633","10.238283157348633","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.653770446777344","","","","","","","10.897859573364258","10.897859573364258","10.897859573364258","2","2","2","","","","","","","","","","","","","","","","","","","","","","","",""
"5.027194023132324","10.061772346496582","10.061772346496582","10.061772346496582","7","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5.07461404800415","","","","","","","","","","","","","10.33032512664795","10.33032512664795","10.33032512664795","5","5","5","","","","","","","","","","","","","","","","","",""
"5.745364665985107","9.914523124694824","9.914523124694824","9.914523124694824","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.089536666870117","","","","","","","","","","","","","10.076557159423828","10.076557159423828","10.076557159423828","6","6","6","","","","","","","","","","","","","","","","","",""
"6.117976665496826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.639601707458496","10.639601707458496","10.639601707458496","3","3","3"
"6.463535308837891","9.783230781555176","9.783230781555176","9.783230781555176","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.980655670166016","","","","","","","10.587102890014648","10.587102890014648","10.587102890014648","3","3","3","","","","","","","","","","","","","","","","","","","","","","","",""
"7.104459285736084","","","","","","","","","","","","","9.885972023010254","9.885972023010254","9.885972023010254","7","7","7","","","","","","","","","","","","","","","","","",""
