"Step","saturate_1M_15B_2 - train/CE loss","saturate_1M_15B_2 - train/CE loss__MIN","saturate_1M_15B_2 - train/CE loss__MAX","saturate_60M_15B - train/CE loss","saturate_60M_15B - train/CE loss__MIN","saturate_60M_15B - train/CE loss__MAX","saturate_moe1Bsparse_15B - train/CE loss","saturate_moe1Bsparse_15B - train/CE loss__MIN","saturate_moe1Bsparse_15B - train/CE loss__MAX","saturate_moe1Bolmo_15B - train/CE loss","saturate_moe1Bolmo_15B - train/CE loss__MIN","saturate_moe1Bolmo_15B - train/CE loss__MAX","saturate_135M_15B_03 - train/CE loss","saturate_135M_15B_03 - train/CE loss__MIN","saturate_135M_15B_03 - train/CE loss__MAX","saturate_1B_15B.py - train/CE loss","saturate_1B_15B.py - train/CE loss__MIN","saturate_1B_15B.py - train/CE loss__MAX","saturate_271M_15_2_cont - train/CE loss","saturate_271M_15_2_cont - train/CE loss__MIN","saturate_271M_15_2_cont - train/CE loss__MAX","saturate_271M_15B_2 - train/CE loss","saturate_271M_15B_2 - train/CE loss__MIN","saturate_271M_15B_2 - train/CE loss__MAX"
"1","10.828981399536133","10.828981399536133","10.828981399536133","10.909632682800293","10.909632682800293","10.909632682800293","10.982831001281738","10.982831001281738","10.982831001281738","11.045915603637695","11.045915603637695","11.045915603637695","10.99261474609375","10.99261474609375","10.99261474609375","11.220311164855957","11.220311164855957","11.220311164855957","","","","11.021903038024902","11.021903038024902","11.021903038024902"
"2","10.828398704528809","10.828398704528809","10.828398704528809","10.880819320678711","10.880819320678711","10.880819320678711","10.92990493774414","10.92990493774414","10.92990493774414","10.897859573364258","10.897859573364258","10.897859573364258","10.927889823913574","10.927889823913574","10.927889823913574","10.889612197875977","10.889612197875977","10.889612197875977","","","","10.902741432189941","10.902741432189941","10.902741432189941"
"3","10.827205657958984","10.827205657958984","10.827205657958984","10.819245338439941","10.819245338439941","10.819245338439941","10.8147554397583","10.8147554397583","10.8147554397583","10.587102890014648","10.587102890014648","10.587102890014648","10.78377914428711","10.78377914428711","10.78377914428711","10.225995063781738","10.225995063781738","10.225995063781738","","","","10.639601707458496","10.639601707458496","10.639601707458496"
"4","10.82583999633789","10.82583999633789","10.82583999633789","10.730544090270996","10.730544090270996","10.730544090270996","10.647744178771973","10.647744178771973","10.647744178771973","10.201762199401855","10.201762199401855","10.201762199401855","10.575376510620117","10.575376510620117","10.575376510620117","10.005575180053711","10.005575180053711","10.005575180053711","","","","10.277194023132324","10.277194023132324","10.277194023132324"
"5","10.824651718139648","10.824651718139648","10.824651718139648","10.635175704956055","10.635175704956055","10.635175704956055","10.447831153869629","10.447831153869629","10.447831153869629","9.85261344909668","9.85261344909668","9.85261344909668","10.33032512664795","10.33032512664795","10.33032512664795","9.618255615234375","9.618255615234375","9.618255615234375","","","","9.91236400604248","9.91236400604248","9.91236400604248"
"6","10.822528839111328","10.822528839111328","10.822528839111328","10.531768798828125","10.531768798828125","10.531768798828125","10.238283157348633","10.238283157348633","10.238283157348633","9.552346229553223","9.552346229553223","9.552346229553223","10.076557159423828","10.076557159423828","10.076557159423828","9.498390197753906","9.498390197753906","9.498390197753906","","","","9.645346641540527","9.645346641540527","9.645346641540527"
"7","10.819143295288086","10.819143295288086","10.819143295288086","10.434853553771973","10.434853553771973","10.434853553771973","10.061772346496582","10.061772346496582","10.061772346496582","9.3557710647583","9.3557710647583","9.3557710647583","9.885972023010254","9.885972023010254","9.885972023010254","9.26511287689209","9.26511287689209","9.26511287689209","","","","9.481398582458496","9.481398582458496","9.481398582458496"
"8","10.816865921020508","10.816865921020508","10.816865921020508","10.34869384765625","10.34869384765625","10.34869384765625","9.914523124694824","9.914523124694824","9.914523124694824","9.207120895385742","9.207120895385742","9.207120895385742","9.739985466003418","9.739985466003418","9.739985466003418","9.382233619689941","9.382233619689941","9.382233619689941","","","","9.361897468566895","9.361897468566895","9.361897468566895"
"9","10.813793182373047","10.813793182373047","10.813793182373047","10.274738311767578","10.274738311767578","10.274738311767578","9.783230781555176","9.783230781555176","9.783230781555176","9.07843017578125","9.07843017578125","9.07843017578125","9.631179809570312","9.631179809570312","9.631179809570312","8.960043907165527","8.960043907165527","8.960043907165527","","","","9.264497756958008","9.264497756958008","9.264497756958008"
"10","10.81116771697998","10.81116771697998","10.81116771697998","10.207616806030273","10.207616806030273","10.207616806030273","9.65687370300293","9.65687370300293","9.65687370300293","8.950523376464844","8.950523376464844","8.950523376464844","9.528006553649902","9.528006553649902","9.528006553649902","8.692338943481445","8.692338943481445","8.692338943481445","","","","9.158952713012695","9.158952713012695","9.158952713012695"
"11","10.807967185974121","10.807967185974121","10.807967185974121","10.161580085754395","10.161580085754395","10.161580085754395","9.573240280151367","9.573240280151367","9.573240280151367","8.851777076721191","8.851777076721191","8.851777076721191","9.464014053344727","9.464014053344727","9.464014053344727","8.670843124389648","8.670843124389648","8.670843124389648","","","","9.088397026062012","9.088397026062012","9.088397026062012"
"12","10.804618835449219","10.804618835449219","10.804618835449219","10.106191635131836","10.106191635131836","10.106191635131836","9.481653213500977","9.481653213500977","9.481653213500977","8.726207733154297","8.726207733154297","8.726207733154297","9.37829303741455","9.37829303741455","9.37829303741455","8.480876922607422","8.480876922607422","8.480876922607422","","","","8.990718841552734","8.990718841552734","8.990718841552734"
"13","10.80021858215332","10.80021858215332","10.80021858215332","10.045328140258789","10.045328140258789","10.045328140258789","9.38167953491211","9.38167953491211","9.38167953491211","8.575838088989258","8.575838088989258","8.575838088989258","9.281946182250977","9.281946182250977","9.281946182250977","8.280513763427734","8.280513763427734","8.280513763427734","","","","8.870527267456055","8.870527267456055","8.870527267456055"
"14","10.796730041503906","10.796730041503906","10.796730041503906","9.988198280334473","9.988198280334473","9.988198280334473","9.309249877929688","9.309249877929688","9.309249877929688","8.461875915527344","8.461875915527344","8.461875915527344","9.192440032958984","9.192440032958984","9.192440032958984","8.125720024108887","8.125720024108887","8.125720024108887","","","","8.761093139648438","8.761093139648438","8.761093139648438"
